id,city,country,income_group,cen_lat,cen_lon,ave_pop_growth,ave_built_up_pc_growth,ave_temp_change,ave_built_quality_1_change,ave_built_quality_2_change,n_ave_pop_growth,n_ave_built_up_pc_growth,n_ave_built_quality_1_change,n_ave_built_quality_2_change,n_ave_temp_change,imp_pop_1,imp_pop_2
4193,"Al Rahad","Sudan","2. LMIC",12.72499,30.64122,1.029862,.9845052,.3016992,,,1.168086,-1.155652,,,-.3141336,.3107086,66097.73
4194,"Marembo","Burundi","1. LIC",-2.473237,30.18315,,,.4447956,,,,,,,.1047567,,43023.48
4195,"Nizhny Novgorod","Russia","3. UMIC",56.29191,43.91017,.9925947,1.011571,.3156676,1.056213,.9959366,-1.530145,.2612109,1.029401,.9542406,-.2732433,.31333,364479.3
4196,"Kabuga","Rwanda","1. LIC",-1.971521,30.23122,1.032094,1.003143,.478488,,,1.329648,-.1799702,,,.2033853,.4938444,28914.62
4197,"Eliya","Zambia","1. LIC",-14.56138,30.8228,.9973754,1.047473,.4071507,.9571911,.9571911,-1.184011,2.14061,-1.17961,-1.746015,-.0054422,.4060822,23797.94
4198,"Jerera","Zimbabwe","1. LIC",-20.39703,31.43058,1.037113,1.012997,.4733052,,.951844,1.693019,.3358779,,-2.118664,.1882137,.4908708,31089.18
4199,"Al Salamiyah al Hait","Egypt","3. UMIC",26.05893,32.30347,.9859105,1.022426,1.135034,1.006824,.9920428,-2.014086,.8294726,-.0723747,.6828741,2.12531,1.119042,76505.16
4200,"Bunia","Democratic Republic of the Congo","1. LIC",1.565455,30.2487,1.025667,.9877242,.6164861,,,.8643203,-.9871413,,,.6073511,.6323093,394156.2
4201,"Ruyigi","Burundi","1. LIC",-3.473318,30.24913,1.025048,,.3806276,,,.8195516,,,,-.0830841,.3901617,25413.57
4202,"Tambov","Russia","3. UMIC",52.73024,41.43388,.991555,1.013528,.5040805,.9986604,.995056,-1.60542,.3636479,-.2544996,.8928656,.2783031,.4998236,145633.9
4203,"Fort Portal","Uganda","1. LIC",.6591514,30.26382,1.023629,.9957452,.5977755,,,.7167659,-.5672495,,,.552579,.6119002,48120.53
4204,"Yeysk","Russia","3. UMIC",46.69987,38.28065,1.00321,1.004319,1.23984,.9788936,1.000496,-.7615741,-.1184269,-.6954627,1.272011,2.432114,1.24382,77911.92
4205,"Chizhanje","Zimbabwe","1. LIC",-17.83207,31.19707,.9993072,1.009434,.5300627,1.074534,.9913406,-1.044146,.1493571,1.43812,.6339361,.3543614,.5296955,29236.76
4206,"Glenclova","Zimbabwe","1. LIC",-19.95788,31.43284,1.011534,.9915273,.4775062,1.084305,.997045,-.1589022,-.7880523,1.656097,1.031488,.2005112,.4830137,75673.28
4207,"Samsun","Turkey","3. UMIC",41.28934,36.33309,1.032483,.970404,1.193111,,,1.357854,-1.893832,,,2.295321,1.231867,600771
4208,"Ruwa","Zimbabwe","2. LMIC",-17.87853,31.22738,1.025822,1.041222,.5300627,.9173214,,.8755319,1.813417,-2.069037,,.3543614,.5437497,39234.11
4209,"Abu Manna Gharb","Egypt","2. LMIC",26.15215,32.40717,.9905274,1.015495,1.135034,,.9941583,-1.679819,.4666466,,.8303068,2.12531,1.124282,91233.09
4210,"Iga Barriere","Democratic Republic of the Congo","1. LIC",1.740301,30.30614,1.024467,1.012974,.6164861,,,.7774931,.3346735,,,.6073511,.6315699,98103.61
4211,"Butihinda","Burundi","1. LIC",-2.714961,30.32136,,,.4243789,,,,,,,.0449902,,34669.46
4212,"Muyinga","Burundi","1. LIC",-2.845694,30.33656,1.036393,1.038359,.4243789,,,1.640914,1.663503,,,.0449902,.4398233,77113.35
4213,"Luhansk","Ukraine","2. LMIC",48.56075,39.318,.991971,1.01062,1.013335,,.9975007,-1.575298,.2114183,,1.063241,1.769058,1.005199,420889.8
4214,"Tarsus","Turkey","3. UMIC",36.92334,34.89542,.9989644,1.012726,1.167316,,.9884573,-1.068969,.3216934,,.4329877,2.219813,1.166108,186411.6
4215,"Dishna","Egypt","2. LMIC",26.12278,32.46397,.9861382,1.015447,1.135034,.9666043,.9986308,-1.997601,.4641129,-.9696174,1.142,2.12531,1.1193,69346.2
4216,"Kayseri","Turkey","3. UMIC",38.73952,35.52442,1.045209,.9671785,1.175882,,,2.279232,-2.06268,,,2.244887,1.229043,908549.6
4217,"N/A","Sudan","1. LIC",12.15028,30.78994,1.037902,1.041517,.3170705,,,1.750173,1.828818,,,-.2691367,.3290881,25512.18
4218,"Yirol","South Sudan","2. LMIC",6.558757,30.50176,1.0074,1.054881,.4269357,,,-.4582229,2.528423,,,.0524748,.430095,43150.12
4219,"Makere","Tanzania","1. LIC",-4.281257,30.42641,.9969802,1.027286,.3720031,,.976387,-1.212626,1.083883,,-.4082123,-.108331,.3708797,19955.94
4220,"Maputo","Mozambique","2. LMIC",-25.87517,32.55428,1.027331,.9825884,.6639943,.9608812,.9908041,.9847822,-1.255992,-1.097289,.5965462,.7464234,.6821416,1612784
4221,"Kabogo","Burundi","1. LIC",-2.59244,30.43646,,1.048628,.4243789,,,,2.201086,,,.0449902,,29082.46
4222,"Bindura","Zimbabwe","1. LIC",-17.30818,31.33184,1.021155,1.010604,.5007138,.9767472,.969008,.5377001,.2105634,-.7433458,-.922474,.2684477,.5113066,37549.61
4223,"Novorossiysk","Russia","3. UMIC",44.72274,37.76896,1.000699,1.004001,1.225716,1.042074,.9977422,-.9433501,-.1350515,.713982,1.080073,2.390768,1.226573,225956.6
4224,"Giteranyi","Burundi","1. LIC",-2.516926,30.45865,1.049848,1.048628,.4243789,,,2.615052,2.201086,,,.0449902,.4455331,21229.04
4225,"Armant Al-Waburat","Egypt","3. UMIC",25.59334,32.49147,1.008311,1.004555,1.10927,.9958439,.9872603,-.392248,-.1060646,-.3173296,.3495677,2.049891,1.118489,110373.6
4226,"Gisuru","Burundi","1. LIC",-3.458287,30.49641,1.035099,,.3806276,,,1.547208,,,,-.0830841,.3939871,19548.94
4227,"N/A","South Sudan","1. LIC",6.708539,30.60908,,,.4269357,,,,,,,.0524748,,24540.49
4228,"Gatoke","Burundi","1. LIC",-2.434672,30.48411,,,.4447956,,,,,,,.1047567,,32369.49
4229,"Tekkeky","Turkey","3. UMIC",41.24186,36.42451,1.020173,.9815185,1.193111,,,.4665639,-1.312001,,,2.295321,1.217179,66671.2
4230,"Hod al Salmiya al Qibli al Gharbi","Egypt","3. UMIC",25.55616,32.49089,,,1.10927,1.025229,.9913185,,,.3382092,.6323909,2.049891,,59567.43
4231,"Gnyurdu","Turkey","4. HIC",36.97578,35.06065,1.016556,1.007547,1.136126,.9951909,.976346,.2046584,.0505395,-.3318976,-.4110743,2.128507,1.154935,206184.1
4232,"Gkkuyu","Turkey","2. LMIC",37.10275,35.11058,1.02769,1.005245,1.206158,,.9679793,1.010804,-.0699573,,-.9941673,2.333515,1.239557,69476.64
4233,"Tod","Egypt","3. UMIC",25.58934,32.55083,,,1.136724,1.030981,.9882979,,,.4665206,.4218842,2.130257,,121526.8
4234,"Taganrog","Russia","3. UMIC",47.22916,38.89944,.996617,1.006731,1.204207,1.042202,.9999043,-1.238921,.0078486,.7168409,1.230754,2.327803,1.200133,300466.8
4235,"Cankuzo","Burundi","1. LIC",-3.219546,30.55177,1.029549,,.3866606,,,1.145412,,,,-.0654237,.3980861,21466.98
4236,"Marondera","Zimbabwe","1. LIC",-18.1804,31.55877,1.015078,1.02056,.5194302,1.049213,.9652992,.0976866,.7317783,.8732538,-1.180942,.3232366,.5272622,27290.21
4237,"Adana","Turkey","3. UMIC",37.00342,35.28313,1.000031,1.017945,1.206158,.9902242,.982341,-.9917265,.5948628,-.4426972,.0067321,2.333515,1.206196,889630.3
4238,"Naj al Madamud","Egypt","3. UMIC",25.6709,32.67026,,,1.136724,1.014979,.9881489,,,.1095468,.4114993,2.130257,,546078.6
4239,"Isna","Egypt","2. LMIC",25.25769,32.56644,.98505,1.020191,1.150422,1.037845,.9950846,-2.076388,.7124766,.6196359,.8948637,2.170357,1.133223,143322.4
4240,"Rovenky","Ukraine","2. LMIC",48.07906,39.36437,.992093,1.011697,1.106079,,.9963163,-1.566469,.2677946,,.9806972,2.040551,1.097333,61882.31
4241,"Qena","Egypt","2. LMIC",26.15926,32.71677,.9902351,1.015045,1.145581,1.076034,.9948931,-1.700977,.4430639,1.471583,.8815128,2.156185,1.134394,238646.7
